PassengerId,Survived
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,0
554,0
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,1
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,1
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,1
603,1
604,0
605,1
606,0
607,0
608,0
609,1
610,0
611,0
612,1
613,1
614,1
615,0
616,0
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,0
627,1
628,0
629,0
630,1
631,0
632,0
633,0
634,1
635,0
636,0
637,1
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,1
657,0
658,0
659,1
660,1
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,0
681,0
682,0
683,1
684,0
685,0
686,0
687,1
688,1
689,0
690,0
691,1
692,0
693,1
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,1
710,1
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,0
721,0
722,1
723,0
724,1
725,1
726,1
727,0
728,1
729,1
730,1
731,1
732,0
733,0
734,0
735,1
736,0
737,1
738,1
739,0
740,0
741,1
742,1
743,0
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,0
752,0
753,1
754,0
755,0
756,1
757,0
758,0
759,1
760,1
761,0
762,0
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,1
787,1
788,1
789,1
790,0
791,0
792,0
793,1
794,1
795,0
796,0
797,0
798,0
799,1
800,1
801,0
802,1
803,0
804,0
805,0
806,1
807,0
808,1
809,0
810,0
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,1
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,1
832,0
833,0
834,1
835,1
836,1
